date,initial_wealth,initial_weights,end_wealth,end_weights,transaction_cost
2024-01-29 00:00:00+00:00,2000.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],2010.2638570666572,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-02-05 00:00:00+00:00,2015.3400735796097,"[0.09071391 0.0900113  0.0904314  0.09089193 0.09173396 0.09316969
 0.08936369 0.090896   0.08886061 0.09194909 0.09197843 0.        ]",2009.4013316544197,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-02-12 00:00:00+00:00,2021.0722225397087,"[0.09254242 0.09008567 0.09278733 0.09160808 0.09117093 0.08804613
 0.09054676 0.09019558 0.09177562 0.09134665 0.08989482 0.        ]",2021.7470100553994,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-02-19 00:00:00+00:00,2047.4892437664907,"[0.09141123 0.09053814 0.0900723  0.09117953 0.09132732 0.0908676
 0.09149901 0.09052873 0.09073264 0.0910429  0.09080059 0.        ]",2062.4191854468418,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-02-26 00:00:00+00:00,2078.0651636413577,"[0.09133628 0.0905022  0.09140061 0.09014054 0.09113789 0.09256532
 0.08977708 0.09207235 0.08981368 0.08923604 0.092018   0.        ]",2082.7463872767794,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-03-04 00:00:00+00:00,2092.1294473718717,"[0.09189406 0.08997836 0.09153377 0.09120544 0.09104515 0.08900082
 0.09131496 0.09190587 0.0934399  0.09052012 0.08816155 0.        ]",2090.5052229293983,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-03-11 00:00:00+00:00,2089.995462224809,"[0.09240897 0.09059054 0.09442953 0.09131385 0.09073996 0.09017897
 0.09138092 0.08837529 0.09051963 0.09026881 0.08979353 0.        ]",2078.4885081258494,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-03-18 00:00:00+00:00,2101.589936802382,"[0.09038388 0.09268602 0.09064407 0.09120728 0.09215311 0.09168955
 0.08995085 0.08885372 0.09038618 0.08986946 0.09217588 0.        ]",2113.825867204742,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-03-25 00:00:00+00:00,2146.715529882515,"[0.09120532 0.08945841 0.09207447 0.09124476 0.09020514 0.08883983
 0.09090706 0.09212106 0.09265667 0.09112714 0.09016014 0.        ]",2168.945780511629,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-04-01 00:00:00+00:00,2151.3922078611135,"[0.09160037 0.09268479 0.09528424 0.0905212  0.0915077  0.09091736
 0.08928055 0.0890506  0.09103429 0.08891882 0.08920007 0.        ]",2123.0697231503964,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-04-08 00:00:00+00:00,2083.198059458959,"[0.0899593  0.09147216 0.09096531 0.08943928 0.09076483 0.0923475
 0.09162434 0.0900538  0.09144317 0.09001754 0.09191275 0.        ]",2033.2817755386197,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-04-15 00:00:00+00:00,2005.447170557824,"[0.09130204 0.09017672 0.09117368 0.0930245  0.09046259 0.08649633
 0.09362044 0.08891698 0.09405543 0.09231388 0.08845742 0.        ]",1967.144191789504,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-04-22 00:00:00+00:00,1996.024030535381,"[0.09003931 0.09019664 0.09020152 0.09045104 0.09110263 0.09286866
 0.09085835 0.09092244 0.09051538 0.09012646 0.09271757 0.        ]",2014.1663649650711,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-04-29 00:00:00+00:00,2021.9652965361433,"[0.09053682 0.09063971 0.08752932 0.08992792 0.09060788 0.09175891
 0.09087401 0.09191714 0.09356295 0.09108941 0.09155594 0.        ]",2018.7518334440608,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-05-06 00:00:00+00:00,2058.4346386072502,"[0.09129689 0.09075372 0.09021197 0.09180995 0.09111012 0.09031436
 0.09104143 0.09089981 0.09272137 0.09074479 0.0890956  0.        ]",2087.681264518472,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-05-13 00:00:00+00:00,2111.871043817915,"[0.09007736 0.09067436 0.09085547 0.09119079 0.08952431 0.09251727
 0.09045671 0.09202994 0.09112213 0.09147491 0.09007676 0.        ]",2125.2136519306855,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-05-20 00:00:00+00:00,2099.2172385567083,"[0.09134872 0.09251784 0.0886553  0.09023037 0.09149903 0.09360452
 0.09083094 0.08878684 0.09106874 0.0909484  0.09050931 0.        ]",2062.6733792374966,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-05-27 00:00:00+00:00,2068.125928704744,"[0.09081636 0.09098646 0.09246321 0.09071304 0.08995577 0.08852882
 0.09092985 0.09234657 0.0921944  0.09019576 0.09086974 0.        ]",2062.563813829711,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-06-03 00:00:00+00:00,2056.5715216662775,"[0.08946444 0.09244682 0.08805708 0.09084771 0.09032683 0.0935588
 0.09157548 0.09100639 0.08771173 0.09293071 0.09207399 0.        ]",2039.6285965956276,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-06-10 00:00:00+00:00,2039.2987702329103,"[0.09010489 0.09063425 0.08895487 0.08910576 0.09004807 0.09601541
 0.09009384 0.09226614 0.09092513 0.09058361 0.09126803 0.        ]",2027.9707760054287,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-06-17 00:00:00+00:00,2045.2153271287552,"[0.09074164 0.09094076 0.09182303 0.0915803  0.09142668 0.0903663
 0.09091633 0.08995664 0.08936521 0.09064777 0.09223534 0.        ]",2051.5129778738133,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-06-24 00:00:00+00:00,2041.8005404916535,"[0.09002521 0.09215564 0.09280649 0.09089462 0.09056362 0.09050888
 0.09009863 0.09121481 0.08973489 0.09072125 0.09127595 0.        ]",2021.1861615928062,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-07-01 00:00:00+00:00,2045.0541785146304,"[0.08976174 0.09219633 0.0894314  0.09105074 0.08958084 0.09255321
 0.09137516 0.09040503 0.09102092 0.08927613 0.0933485  0.        ]",2058.0741527630366,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-07-08 00:00:00+00:00,2090.517998695636,"[0.09201568 0.08789549 0.08978874 0.09117937 0.09155446 0.0897252
 0.08945298 0.09331571 0.0929053  0.091761   0.09040607 0.        ]",2112.2998892184683,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-07-15 00:00:00+00:00,2102.9813229668443,"[0.09095506 0.09007867 0.09321566 0.09236178 0.09185629 0.08629679
 0.09210357 0.09253654 0.08990016 0.09110227 0.0895932  0.        ]",2082.7523935640033,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-07-22 00:00:00+00:00,2084.590793719559,"[0.09205127 0.08931701 0.09064465 0.09200857 0.09186172 0.08893423
 0.09128685 0.09131487 0.09216849 0.09210532 0.08830701 0.        ]",2075.421107130559,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-07-29 00:00:00+00:00,2057.3416698255983,"[0.09048493 0.09292172 0.0880081  0.08892701 0.08918701 0.08687566
 0.0926817  0.09432766 0.09571461 0.09233213 0.08853948 0.        ]",2028.5155497206083,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-08-05 00:00:00+00:00,2028.3003211955743,"[0.08942515 0.09142389 0.0919584  0.09165458 0.09206787 0.09132376
 0.09079343 0.09081102 0.09017236 0.09038926 0.08998027 0.        ]",2017.0862826230125,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-08-12 00:00:00+00:00,2063.624445589171,"[0.0906898  0.08976987 0.08972845 0.09154241 0.09059653 0.09547788
 0.09020084 0.08878318 0.08967703 0.09038588 0.09314813 0.        ]",2099.982544139585,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-08-19 00:00:00+00:00,2133.3533909605408,"[0.09149112 0.09064454 0.08928096 0.09070742 0.09098573 0.09039323
 0.09083617 0.09258342 0.09053639 0.09086811 0.0916729  0.        ]",2156.0797331662557,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-08-26 00:00:00+00:00,2171.4923457390623,"[0.09171344 0.09002007 0.09109382 0.09286532 0.09172675 0.08874356
 0.09094413 0.09058002 0.0912462  0.09122114 0.08984553 0.        ]",2175.936501620297,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
